id,name,type,location,price,amenities
1,Orchid Villas,Villa,Tukkuguda,14828182,"Home Automation, Parking, Gym, CCTV, Power Backup, Security"
2,Lakeview Residency,Apartment,Beeramguda,8321982,"Lift, Swimming Pool, Security"
3,Golden Villas,Villa,Tukkuguda,14733921,"CCTV, Home Automation, Power Backup, Solar Water Heater"
4,Skyline Plaza,Commercial,Kondapur,13872565,"Home Automation, Power Backup, Garden, CCTV, Clubhouse"
5,Golden Flats,Apartment,Gachibowli,12609360,"Security, Lift, Clubhouse"
6,Sunshine Square,Commercial,Madhapur,19420096,"Security, Clubhouse, Solar Water Heater, Gym"
7,Skyline Square,Commercial,Kokapet,12675528,"Lift, CCTV, Garden, Security, Clubhouse, Solar Water Heater"
8,Sunshine Square,Commercial,Tukkuguda,17973204,"Home Automation, Lift, Swimming Pool"
9,Green Villas,Villa,Patancheru,13839054,"Lift, Power Backup, Swimming Pool, Gym"
10,Maple Plaza,Commercial,Kokapet,13511168,"Security, Swimming Pool, Solar Water Heater, Children's Park, Home Automation"
11,Palm Towers,Apartment,Madhapur,7081520,"CCTV, Power Backup, Children's Park, Home Automation, Garden"
12,Golden Estates,Villa,Bachupally,19031285,"Children's Park, Solar Water Heater, Gym"
13,Maple Towers,Apartment,Madhapur,8244229,"Children's Park, Parking, Power Backup, Security, Lift, Clubhouse"
14,Green Heights,Apartment,Madhapur,10650035,"Solar Water Heater, Lift, Garden, Clubhouse"
15,Green Centre,Commercial,Tukkuguda,11745504,"Gym, Children's Park, Garden, Solar Water Heater, CCTV"
16,Orchid Flats,Apartment,Tukkuguda,6496077,"Clubhouse, Gym, Solar Water Heater, Swimming Pool, Children's Park"
17,Maple Flats,Apartment,Beeramguda,6207198,"Gym, Parking, Swimming Pool, Security"
18,Maple Enclave,Villa,Beeramguda,15502950,"Home Automation, Clubhouse, Security, Gym, Power Backup, Children's Park"
19,Green Residency,Apartment,Miyapur,7434080,"Solar Water Heater, Clubhouse, Gym"
20,Golden Flats,Apartment,Jubilee Hills,11351327,"Home Automation, Garden, Lift"
21,Elite Square,Commercial,Patancheru,25763780,"Home Automation, Security, Gym, Solar Water Heater, Parking, Lift"
22,Elite Centre,Commercial,Adibatla,15253506,"CCTV, Swimming Pool, Parking, Lift"
23,Palm Flats,Apartment,Patancheru,5767828,"Garden, Solar Water Heater, Power Backup, Parking"
24,Skyline Residency,Apartment,Patancheru,4833864,"Home Automation, Lift, Security"
25,Orchid Flats,Apartment,Jubilee Hills,16709307,"Lift, Power Backup, Home Automation, Garden"
26,Golden Centre,Commercial,Miyapur,18317450,"Clubhouse, Security, Lift"
27,Meadow Estates,Villa,Gachibowli,27126260,"CCTV, Clubhouse, Lift, Garden"
28,Sunshine Square,Commercial,Madhapur,39030770,"Solar Water Heater, Power Backup, CCTV"
29,Elite Residency,Apartment,Beeramguda,8269590,"Parking, Power Backup, Lift, CCTV"
30,Orchid Residency,Apartment,Madhapur,6192350,"Security, CCTV, Clubhouse, Solar Water Heater, Children's Park, Parking"
31,Meadow Towers,Apartment,Madhapur,6732286,"Parking, Gym, Solar Water Heater, Garden, Clubhouse, Power Backup"
32,Elite Villas,Villa,Kokapet,45008968,"Home Automation, Solar Water Heater, Garden, Parking"
33,Meadow Heights,Apartment,HITEC City,12758604,"CCTV, Garden, Swimming Pool, Children's Park, Clubhouse"
34,Orchid Villas,Villa,Jubilee Hills,25566783,"Garden, Swimming Pool, CCTV, Security, Home Automation"
35,Golden Gardens,Villa,Adibatla,15840060,"CCTV, Swimming Pool, Parking, Home Automation, Garden, Gym"
36,Green Estates,Villa,Kokapet,30510090,"Home Automation, Garden, Swimming Pool, Clubhouse"
37,Golden Residency,Apartment,Gachibowli,12627322,"Gym, Swimming Pool, Children's Park, Clubhouse"
38,Maple Arcade,Commercial,Tukkuguda,19294940,"Gym, Solar Water Heater, Security, Parking"
39,Sunshine Villas,Villa,Kondapur,23315182,"Children's Park, Power Backup, Home Automation, Parking, Security, Gym"
40,Skyline Square,Commercial,Bachupally,18750984,"Clubhouse, Garden, Parking, Power Backup, Security, Children's Park"
41,Skyline Flats,Apartment,Gachibowli,13639626,"Children's Park, Lift, Solar Water Heater, Power Backup"
42,Elite Heights,Apartment,Tukkuguda,7643115,"Swimming Pool, Gym, Lift, Home Automation, Children's Park"
43,Lakeview Plaza,Commercial,Kondapur,20113795,"Security, Clubhouse, Lift, Solar Water Heater, Home Automation"
44,Lakeview Enclave,Villa,Gachibowli,21573282,"Parking, Swimming Pool, Clubhouse, Gym, Lift, Security"
45,Golden Heights,Apartment,Jubilee Hills,10543390,"Swimming Pool, Gym, CCTV"
46,Orchid Arcade,Commercial,Kondapur,22119414,"Clubhouse, CCTV, Security, Power Backup, Lift, Children's Park"
47,Sunshine Estates,Villa,Madhapur,11710896,"Children's Park, Gym, Swimming Pool, Home Automation, Solar Water Heater"
48,Golden Square,Commercial,Narsingi,11294688,"Clubhouse, Lift, CCTV, Gym"
49,Golden Villas,Villa,Bachupally,18232550,"Gym, Power Backup, Parking, Clubhouse"
50,Meadow Enclave,Villa,Kokapet,44562199,"Power Backup, Home Automation, CCTV, Garden, Lift"
51,Meadow Centre,Commercial,Patancheru,21985002,"Clubhouse, Swimming Pool, Lift"
52,Orchid Towers,Apartment,Beeramguda,5423037,"Children's Park, Parking, Gym, Security, Garden"
53,Elite Villas,Villa,Kokapet,26420160,"Solar Water Heater, Clubhouse, Security, Lift"
54,Palm Gardens,Villa,Patancheru,14874112,"Parking, CCTV, Home Automation, Power Backup"
55,Meadow Gardens,Villa,Kokapet,27266736,"Children's Park, Security, Swimming Pool, Power Backup"
56,Maple Heights,Apartment,Beeramguda,5034146,"Solar Water Heater, Clubhouse, Children's Park, CCTV"
57,Palm Residency,Apartment,Beeramguda,5318670,"Power Backup, Children's Park, Garden, Swimming Pool, Solar Water Heater"
58,Maple Towers,Apartment,HITEC City,14729746,"Home Automation, Garden, Power Backup, Lift, Gym, Parking"
59,Green Villas,Villa,Narsingi,22230398,"Gym, CCTV, Home Automation, Lift"
60,Palm Gardens,Villa,Adibatla,11625302,"Home Automation, Garden, Power Backup, CCTV, Solar Water Heater, Lift"
61,Maple Enclave,Villa,Kokapet,24850680,"Lift, Home Automation, CCTV, Security, Parking"
62,Sunshine Estates,Villa,Gachibowli,30830382,"Clubhouse, Solar Water Heater, Children's Park, Gym, Security, Parking"
63,Orchid Square,Commercial,Kondapur,9627416,"Children's Park, Garden, Home Automation, Security, Parking"
64,Orchid Estates,Villa,Beeramguda,11477943,"Garden, Home Automation, Clubhouse"
65,Elite Heights,Apartment,HITEC City,9497874,"Lift, Parking, Solar Water Heater, Clubhouse, CCTV, Swimming Pool"
66,Maple Plaza,Commercial,Kokapet,13603349,"Home Automation, CCTV, Security, Lift"
67,Palm Villas,Villa,Kokapet,44871057,"Garden, Solar Water Heater, Home Automation"
68,Palm Arcade,Commercial,Patancheru,17526300,"Garden, CCTV, Swimming Pool, Home Automation"
69,Palm Estates,Villa,Kokapet,35453012,"Clubhouse, Security, Solar Water Heater, CCTV, Swimming Pool"
70,Sunshine Flats,Apartment,Beeramguda,8116486,"Clubhouse, Parking, Children's Park, Garden"
